소규모학교_KEDI,소규모학교명,소규모학교_행정구,소규모학교_학생수_20251001,후보학교_KEDI,후보학교명,후보학교_행정구,후보학교_학생수_20251001,후보학교_학급당학생수_20251001,후보학교_소규모여부_정책2026,학교간직선거리_km,후보생성기준,거리순위_3km내
214021532,현곡초등학교,금정구,86,214021271,명동초등학교,동래구,454,19.73913043478261,False,2.312168,학교점 간 직선거리 3km 이하,14
214021532,현곡초등학교,금정구,86,214021280,명륜초등학교,동래구,1110,25.227272727272727,False,2.428794,학교점 간 직선거리 3km 이하,15
214021532,현곡초등학교,금정구,86,214021226,내성초등학교,동래구,107,11.88888888888889,True,2.555008,학교점 간 직선거리 3km 이하,16
214021532,현곡초등학교,금정구,86,214021478,장서초등학교,금정구,571,21.96153846153846,False,2.559935,학교점 간 직선거리 3km 이하,17
214021532,현곡초등학교,금정구,86,214021469,온천초등학교,동래구,1064,23.130434782608695,False,2.637442,학교점 간 직선거리 3km 이하,18
214021532,현곡초등학교,금정구,86,216021569,삼어초등학교,해운대구,272,17.0,False,2.668187,학교점 간 직선거리 3km 이하,19
214021532,현곡초등학교,금정구,86,214021379,안락초등학교,동래구,187,15.583333333333334,True,2.815671,학교점 간 직선거리 3km 이하,20
214021532,현곡초등학교,금정구,86,214021217,내산초등학교,동래구,215,16.53846153846154,True,2.840485,학교점 간 직선거리 3km 이하,21
214021532,현곡초등학교,금정구,86,214021543,두실초등학교,금정구,759,23.71875,False,2.988397,학교점 간 직선거리 3km 이하,22
216021172,용암초등학교,기장군,68,216021178,대청초등학교,기장군,472,20.52173913043478,False,1.914302,학교점 간 직선거리 3km 이하,1
216021172,용암초등학교,기장군,68,216021496,죽성초등학교,기장군,71,10.142857142857142,True,2.464938,학교점 간 직선거리 3km 이하,2
216021172,용암초등학교,기장군,68,216021148,기장초등학교,기장군,460,20.0,False,2.609395,학교점 간 직선거리 3km 이하,3
216021172,용암초등학교,기장군,68,216021241,내리초등학교,기장군,124,12.4,False,2.914225,학교점 간 직선거리 3km 이하,4
216021484,좌천초등학교,기장군,37,216021520,칠암초등학교,기장군,55,7.857142857142857,True,2.080104,학교점 간 직선거리 3km 이하,1
216021496,죽성초등학교,기장군,71,216021172,용암초등학교,기장군,68,9.714285714285714,True,2.464938,학교점 간 직선거리 3km 이하,1
216021496,죽성초등학교,기장군,71,216021216,교리초등학교,기장군,529,21.16,False,2.798295,학교점 간 직선거리 3km 이하,2
216021496,죽성초등학교,기장군,71,216021148,기장초등학교,기장군,460,20.0,False,2.827996,학교점 간 직선거리 3km 이하,3
216021520,칠암초등학교,기장군,55,216021484,좌천초등학교,기장군,37,5.285714285714286,True,2.080104,학교점 간 직선거리 3km 이하,1
213021190,동항초등학교,남구,127,213021180,동천초등학교,남구,260,20.0,False,0.843897,학교점 간 직선거리 3km 이하,1
213021190,동항초등학교,남구,127,213021380,용당초등학교,남구,86,9.555555555555555,True,1.050053,학교점 간 직선거리 3km 이하,2
213021190,동항초등학교,남구,127,213021410,우암초등학교,남구,267,17.8,False,1.390983,학교점 간 직선거리 3km 이하,3
213021190,동항초등학교,남구,127,213021290,석포초등학교,남구,651,20.34375,False,1.613508,학교점 간 직선거리 3km 이하,4
213021190,동항초등학교,남구,127,213021213,성천초등학교,남구,122,12.2,True,2.104687,학교점 간 직선거리 3km 이하,5
213021190,동항초등학교,남구,127,213021089,백운초등학교,남구,152,13.818181818181818,True,2.117566,학교점 간 직선거리 3km 이하,6
213021190,동항초등학교,남구,127,213021160,대천초등학교,남구,516,19.846153846153847,False,2.360675,학교점 간 직선거리 3km 이하,7
213021190,동항초등학교,남구,127,213021400,용호초등학교,남구,395,19.75,False,2.557226,학교점 간 직선거리 3km 이하,8
213021190,동항초등학교,남구,127,213021370,연포초등학교,남구,1226,23.576923076923077,False,2.580336,학교점 간 직선거리 3km 이하,9
213021190,동항초등학교,남구,127,213021150,대연초등학교,남구,784,21.77777777777778,False,2.715603,학교점 간 직선거리 3km 이하,10
213021190,동항초등학교,남구,127,213021385,용문초등학교,남구,843,23.416666666666668,False,2.952084,학교점 간 직선거리 3km 이하,11
213021190,동항초등학교,남구,127,213021430,운산초등학교,남구,454,19.73913043478261,False,2.977847,학교점 간 직선거리 3km 이하,12
213021089,백운초등학교,남구,152,213021400,용호초등학교,남구,395,19.75,False,0.56004,학교점 간 직선거리 3km 이하,1
213021089,백운초등학교,남구,152,213021390,용산초등학교,남구,276,17.25,False,0.981023,학교점 간 직선거리 3km 이하,2
213021089,백운초등학교,남구,152,213021380,용당초등학교,남구,86,9.555555555555555,True,1.071312,학교점 간 직선거리 3km 이하,3
